employee_name,employee_code,on_date,status,status_code,remarks,seed_id
Alok Kumar,AFSM-001,2024-04-01,Present,0,Generated default Present: no absent/halfday mark,afd49324-0870-5420-92b4-01ac78aa7823
Alok Kumar,AFSM-001,2024-04-02,Present,0,Generated default Present: no absent/halfday mark,abd8b558-91ee-58dc-932d-430276b51adc
Alok Kumar,AFSM-001,2024-04-03,Present,0,Generated default Present: no absent/halfday mark,9d143911-4d88-57b0-8a88-65e081c57916
Alok Kumar,AFSM-001,2024-04-04,Present,0,Generated default Present: no absent/halfday mark,f5e3337b-7b5e-5911-a786-f85849a45861
Alok Kumar,AFSM-001,2024-04-05,Present,0,Generated default Present: no absent/halfday mark,916fc8df-07d9-5adc-a9c4-420fe2326b36
Alok Kumar,AFSM-001,2024-04-06,Present,0,Generated default Present: no absent/halfday mark,72585170-4a39-5c8c-be0d-3f5b4e304fc2
Alok Kumar,AFSM-001,2024-04-07,Present,0,Generated default Present: no absent/halfday mark,fa05712a-6497-51df-a4d0-2aaab76d1c17
Alok Kumar,AFSM-001,2024-04-08,Present,0,Generated default Present: no absent/halfday mark,1e75bc24-33bd-53b7-9e09-25a1d8a95f04
Alok Kumar,AFSM-001,2024-04-09,Present,0,Generated default Present: no absent/halfday mark,3f59a3cd-f335-53e9-8306-244c2c491619
Alok Kumar,AFSM-001,2024-04-10,Present,0,Generated default Present: no absent/halfday mark,c0535f57-dbe5-5052-95c2-6d75732964bd
Alok Kumar,AFSM-001,2024-04-11,Present,0,Generated default Present: no absent/halfday mark,4bf765aa-f743-5e65-bdaa-222f74d9e5e5
Alok Kumar,AFSM-001,2024-04-12,Present,0,Generated default Present: no absent/halfday mark,80bc47a0-3d7c-5001-84cc-09c1bad32b5c
Alok Kumar,AFSM-001,2024-04-13,Present,0,Generated default Present: no absent/halfday mark,7ee3c541-cacf-5d39-94e2-a756a59c0144
Alok Kumar,AFSM-001,2024-04-14,Present,0,Generated default Present: no absent/halfday mark,3710e801-717c-53f8-9a16-cae4f3fece7a
Alok Kumar,AFSM-001,2024-04-15,Present,0,Generated default Present: no absent/halfday mark,8c75a174-afc8-5bf3-8bb8-dc77f5e8ebb2
Alok Kumar,AFSM-001,2024-04-16,Present,0,Generated default Present: no absent/halfday mark,4aa6dfc6-b694-5f37-b9e0-b36a7afb4059
Alok Kumar,AFSM-001,2024-04-17,Present,0,Generated default Present: no absent/halfday mark,aa381e3a-b975-5dc8-aabd-057885b5cdea
Alok Kumar,AFSM-001,2024-04-18,Present,0,Generated default Present: no absent/halfday mark,7e369eb8-2f99-5ba6-9593-b3469c076c64
Alok Kumar,AFSM-001,2024-04-19,Present,0,Generated default Present: no absent/halfday mark,5fdf5e6e-9f28-5b13-8494-c45adecbf60c
Alok Kumar,AFSM-001,2024-04-20,Present,0,Generated default Present: no absent/halfday mark,64ad727d-872e-5e1a-85d7-d4966936bb3c
Alok Kumar,AFSM-001,2024-04-21,Present,0,Generated default Present: no absent/halfday mark,68fd03ec-a087-55a7-bc4e-846cf3074d00
Alok Kumar,AFSM-001,2024-04-22,Present,0,Generated default Present: no absent/halfday mark,3d414663-a04f-5f8b-8454-b877e2ad4d30
Alok Kumar,AFSM-001,2024-04-23,Present,0,Generated default Present: no absent/halfday mark,ad0b7194-6dea-5dcd-978d-5f398285d7d1
Alok Kumar,AFSM-001,2024-04-24,Present,0,Generated default Present: no absent/halfday mark,a77e35ce-8d21-5a7b-b546-2a6533226251
Alok Kumar,AFSM-001,2024-04-25,Present,0,Generated default Present: no absent/halfday mark,0fbefb2c-5aaf-56ea-ac90-34538bec75ad
Alok Kumar,AFSM-001,2024-04-26,Present,0,Generated default Present: no absent/halfday mark,3ed2e01c-53b9-5823-ba50-8129c65e27d2
Alok Kumar,AFSM-001,2024-04-27,Present,0,Generated default Present: no absent/halfday mark,a4251e4c-8697-5269-9d78-d28ae2274a13
Alok Kumar,AFSM-001,2024-04-28,Present,0,Generated default Present: no absent/halfday mark,c585757e-8708-5c6b-a17d-b62ce4e3414a
Alok Kumar,AFSM-001,2024-04-29,Present,0,Generated default Present: no absent/halfday mark,7e3728d8-5bee-5a8d-ba9b-55b2f4f1aca8
Alok Kumar,AFSM-001,2024-04-30,Present,0,Generated default Present: no absent/halfday mark,4d4e99b8-c972-53aa-ac71-cc642466a331
Alok Kumar,AFSM-001,2024-05-01,Present,0,Generated default Present: no absent/halfday mark,8784d77c-9f40-502c-8d46-0fa854a4c90f
Alok Kumar,AFSM-001,2024-05-02,Present,0,Generated default Present: no absent/halfday mark,3eecef58-57e5-5004-b693-f24cdb792fe7
Alok Kumar,AFSM-001,2024-05-03,Present,0,Generated default Present: no absent/halfday mark,f3915319-b0ea-5def-8b53-6ce0257a1923
Alok Kumar,AFSM-001,2024-05-04,Present,0,Generated default Present: no absent/halfday mark,35e8f48a-0a0b-5100-b2bc-474c01627d16
Alok Kumar,AFSM-001,2024-05-05,Present,0,Generated default Present: no absent/halfday mark,ab77f86d-3c62-5044-96f3-c1b7208bbf7a
Alok Kumar,AFSM-001,2024-05-06,Present,0,Generated default Present: no absent/halfday mark,8175b172-a3c6-59ab-81c1-1af3508483a6
Alok Kumar,AFSM-001,2024-05-07,Present,0,Generated default Present: no absent/halfday mark,c3a7b029-3560-5ad9-9764-c852e822b708
Alok Kumar,AFSM-001,2024-05-08,Present,0,Generated default Present: no absent/halfday mark,d63a7d70-2b30-530a-935b-dcd54e348c8d
